studentID,difNLOC,difCCN,submissions,Window,Total.Time.Spent,atv
10238,0.059358818,0.083248902,0.183098592,0.522971898,0.331559389,457
10240,0.333422175,0.35106383,0.014084507,0.703698668,0.162820572,457
10169,0.209777331,0.225456621,0.017094017,0.004116622,0.109210972,478
10170,0.209777331,0.225456621,0.017094017,2.54E-05,0.009264187,478
10171,0.436966349,0.64640411,0.008547009,0.000171404,0.062454647,478
10172,0.036405203,0.035014171,0.239316239,0.244999969,0.142929708,478
10174,0.073284325,0.081569116,0.085470085,0.251070214,0.416380436,478
10175,0.009622247,0.008336337,0.316239316,0.332783096,0.552005225,478
10176,0.071488364,0.077283105,0.11965812,0.191758245,0.117555996,478
10178,0.249288465,0.225456621,0.017094017,0.002676548,0.048546273,478
10179,0.096182823,0.208618722,0.042735043,0.00020526,0.07479077,478
10181,0.033952788,0.030136986,0.076923077,0.302856861,0.055633496,478
10183,0.481416374,0.494863014,0.008547009,1,0.034492768,478
10184,0.056291775,0.075210748,0.102564103,0.034218842,0.134125103,478
10185,0.16285786,0.318065069,0.025641026,0.000136021,0.049562189,478
10186,0.205826218,0.191780822,0.034188034,0.000495426,0.051594021,478
10187,0.025964667,0.020473496,0.188034188,0.000337166,0.122853273,478
10188,0.075439478,0.080650685,0.076923077,0.183001892,0.021382613,478
10189,0.244349573,0.242294521,0.025641026,0.000166093,0.060519568,478
10190,0.148041185,0.166523973,0.025641026,0.005166954,0.012723139,478
10191,0.045806128,0.040239726,0.076923077,0.298218724,0.081781239,478
10192,0.04432446,0.040239726,0.05982906,0.148968992,0.15623337,478
10193,0.058317986,0.079528158,0.068376068,0.309630182,0.07987035,478
10196,0.136399512,0.134050881,0.051282051,0.145437016,0.054448261,478
10197,0.219655115,0.225456621,0.017094017,0.260095224,0.033234967,478
10198,0.085599483,0.090753425,0.051282051,0.230214197,0.027840937,478
10200,0.102109493,0.110958904,0.076923077,0.114031009,0.222195346,478
10201,0.005723122,0.010994953,0.316239316,0.300089367,0.153088868,478
10202,0.033773191,0.04483188,0.555555556,0.003866752,0.259832616,478
10203,0.066549473,0.057077626,0.042735043,0.321104242,0.041168787,478
10204,0.072899476,0.10518591,0.051282051,0.283507435,0.212858594,478
10206,0,0,1,0.255227928,1,478
10208,0.128779508,0.131164384,0.034188034,0.336503139,0.040056117,478
10209,0.185082873,0.26755137,0.025641026,8.91E-05,0.032460936,478
10210,0.155449523,0.158105023,0.042735043,0.260119322,0.500653089,478
10211,0.074780959,0.057077626,0.068376068,0.002090574,0.0612936,478
10213,0.170266198,0.191780822,0.017094017,7.81E-05,0.028469837,478
10214,0.014573517,0.01378017,0.52991453,0.002409152,0.376009869,478
10215,0.03349689,0.028582719,0.102564103,0.311059569,0.047361037,478
10216,0.269044031,0.326484018,0.017094017,0,0,478
10217,0.066549473,0.065496575,0.128205128,0.291074779,0.297179624,478
10218,0.407332998,0.545376712,0.008547009,3.40E-05,0.0123845,478
10219,1,1,0,1.99E-07,7.26E-05,478
10221,0.644399799,0.696917808,0,1.66E-06,0.000604712,478
10222,0.377699648,0.343321918,0.008547009,0.000530477,0.035073291,478
10226,0.97036665,1,0,1.43E-05,0.005200522,478
10227,0.081366148,0.076320939,0.051282051,0.15412101,0.18719462,478
10228,0.081366148,0.113203957,0.068376068,0.000230154,0.083861448,478
10230,0.019630002,0.01217656,0.299145299,0.304627728,0.420202216,478
10231,0.044894332,0.090753425,0.102564103,0.322915138,0.364447777,478
10232,0.244349573,0.393835616,0.008547009,1.73E-05,0.006289004,478
10234,0.481416374,0.494863014,0.008547009,0.009731272,0.013835809,478
10237,0.303616273,0.64640411,0.008547009,3.14E-05,0.011441149,478
10240,0.328310732,0.326484018,0.017094017,0.302522284,0.167505201,478
10169,0.147982063,0.144144145,0.081967213,2.71E-05,0.024831964,493
10170,0.091180867,0.087087087,0.131147541,8.30E-05,0.073935773,493
10171,1,1,0,0.000105262,0.093539955,493
10172,1,1,0,0,0.001026886,493
10174,0.123638693,0.11969112,0.098360656,0.000132135,0.117158327,493
10175,0.488789238,0.486486487,0.016393443,2.20E-05,0.020351008,493
10176,0.079820628,0.075675676,0.147540984,0.096998344,0.512229276,493
10178,1,1,0,8.94E-05,0.079630321,493
10179,0.233183857,0.22972973,0.049180328,5.51E-05,0.049477222,493
10181,0.147982063,0.144144145,0.081967213,0.182756704,0.024178491,493
10183,0.041479821,0.037162163,0.245901639,0.939323098,0.309559373,493
10184,0.488789238,0.486486487,0.016393443,9.03E-06,0.008961912,493
10185,0.147982063,0.144144145,0.081967213,0.965616716,0.400952203,493
10186,0.233183857,0.22972973,0.049180328,2.28E-05,0.021097834,493
10187,0.31838565,0.315315315,0.032786885,2.85E-05,0.026045556,493
10188,0.31838565,0.315315315,0.032786885,0.000103138,0.09167289,493
10189,0.31838565,0.315315315,0.032786885,7.22E-05,0.064507095,493
10190,0.488789238,0.486486487,0.016393443,1.42E-05,0.013536221,493
10191,0.147982063,0.144144145,0.081967213,4.24E-05,0.038274832,493
10192,0.488789238,0.486486487,0.016393443,2.95E-05,0.026979089,493
10193,0.079820628,0.075675676,0.147540984,0.000150936,0.133681852,493
